Ibge,Asma,Diabetes,DPOC,Hipertensão arterial,Obesidade,Tabagismo,Usuário de álcool,Saúde mental,D.Transmissíveis - Hanseníase,D.Transmissíveis - Tuberculose,Rast. câncer de mama,Rast. câncer do colo do útero,ano,referencia,população
421700,0,0,0,0,0,0,0,2,0,0,0,0,2014,201410,12192
420287,0,1,0,12,0,0,0,5,0,0,0,0,2014,201410,2690
421220,4,21,1,115,3,5,0,88,0,1,1,0,2014,201410,18681
420130,1,8,1,24,15,0,0,2,0,0,0,0,2014,201410,31030
421660,15,1,0,0,0,0,1,0,0,0,0,0,2014,201410,228561
420600,0,1,0,0,0,0,0,0,0,0,0,0,2014,201410,13801
420915,0,4,0,5,2,1,0,27,0,0,0,0,2014,201410,4850
421830,7,25,2,102,1,10,5,32,0,1,0,0,2014,201410,18843
420290,0,0,0,0,0,0,0,2,0,0,1,10,2014,201410,119719
421175,0,27,6,63,3,4,0,51,0,0,2,9,2014,201410,17593
420230,22,78,6,0,0,0,0,9,0,0,0,0,2014,201410,63440
420980,1,2,7,4,0,0,0,7,0,0,1,1,2014,201410,3258
420210,27,116,15,239,52,20,8,94,0,0,49,56,2014,201410,25662
421000,6,44,2,158,53,18,7,156,0,1,79,95,2014,201410,11653
421630,33,214,15,640,59,37,17,944,0,4,53,90,2014,201410,31534
421550,0,0,0,0,0,0,0,0,0,0,0,7,2014,201410,16413
421280,2,0,2,0,0,1,0,189,0,0,0,0,2014,201410,19976
421725,6,10,2,20,4,0,0,8,0,0,2,114,2014,201410,5256
420460,0,13,0,49,15,17,11,0,0,0,0,0,2014,201410,204667
420750,0,7,0,0,0,0,0,0,0,0,0,0,2014,201410,61968
420287,0,0,0,4,1,0,0,6,0,0,0,0,2014,201411,2690
420210,19,103,10,244,48,8,4,100,0,0,14,41,2014,201411,25662
421290,0,12,0,10,0,0,0,1,0,0,0,0,2014,201411,18284
421000,0,39,1,139,60,7,9,165,0,1,40,77,2014,201411,11653
421280,0,0,0,0,0,0,0,207,0,0,0,0,2014,201411,19976
421830,10,45,13,158,1,17,2,58,0,0,0,0,2014,201411,18843
420290,0,0,0,0,0,0,0,8,0,0,2,0,2014,201411,119719
421175,1,28,7,75,2,3,1,38,0,0,2,1,2014,201411,17593
421220,5,51,3,127,18,1,0,46,0,0,0,3,2014,201411,18681
420130,6,15,3,7,8,5,0,3,0,0,2,2,2014,201411,31030
421725,2,20,0,20,6,0,0,13,0,0,0,54,2014,201411,5256
421970,0,0,0,2,0,0,0,4,0,0,0,0,2014,201411,27336
420460,0,20,0,59,25,13,9,27,0,0,1,0,2014,201411,204667
420830,12,63,2,243,40,0,0,93,0,0,0,0,2014,201411,55016
420320,29,254,22,784,123,43,15,315,1,3,3,0,2014,201411,72261
420810,2,6,1,12,1,0,0,42,0,0,0,0,2014,201411,21139
421570,0,5,1,22,3,0,0,7,0,0,0,0,2014,201411,21572
420110,0,8,1,11,1,0,0,2,0,0,4,4,2014,201411,3256
421020,1,0,0,14,0,0,0,13,0,0,0,0,2014,201411,3389
421950,0,5,2,18,126,0,0,31,0,0,0,1,2014,201411,47679
421630,21,135,6,332,35,24,3,389,0,4,17,19,2014,201411,31534
421550,0,0,0,0,0,9,0,0,0,0,0,0,2014,201411,16413
421750,0,2,0,0,0,0,0,0,0,0,0,0,2014,201412,17395
421220,3,19,1,109,2,3,2,33,0,0,0,2,2014,201412,18681
421660,7,1,0,0,0,0,0,0,0,0,0,0,2014,201412,228561
420130,11,31,3,27,9,4,0,8,0,0,0,0,2014,201412,31030
420600,0,3,0,0,0,0,0,0,0,0,0,0,2014,201412,13801
421280,0,0,0,0,0,0,0,97,0,0,0,0,2014,201412,19976
421320,1,2,0,6,0,0,0,23,0,0,0,1,2014,201412,30598
421725,0,4,0,2,0,2,0,7,0,0,0,18,2014,201412,5256
421970,0,6,8,8,7,0,1,3,0,0,0,0,2014,201412,27336
420460,3,40,1,86,27,22,23,114,0,0,11,5,2014,201412,204667
420750,1,8,0,0,0,0,0,0,0,0,0,0,2014,201412,61968
421950,0,0,0,0,25,0,0,1,0,0,0,0,2014,201412,47679
421630,14,132,7,316,33,28,7,466,0,1,17,23,2014,201412,31534
420250,0,1,0,6,0,0,0,0,0,0,0,0,2014,201412,4598
420830,0,0,0,10,1,0,0,2,0,0,0,0,2014,201412,55016
